Test Name,Pattern,Postgres SQL,Hyper DB SQL
testAddMonths,B,"($!s0s!$.customdate1__c +  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdate1__c) + interval '1 month -1 day')::timestamp(0))::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdate1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval  + ('1 month'::interval*TRUNC(COALESCE($!s0s!$.customnumber1__c, 0)))) -  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdate1__c) + interval '1 month -1 day')::timestamp(0))::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdate1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval ","($!s0s!$.customdate1__c +  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdate1__c) + interval '1 month -1 day')::timestamp)::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdate1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval  + ('1 month'::interval*TRUNC(COALESCE($!s0s!$.customnumber1__c, 0)))) -  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdate1__c) + interval '1 month -1 day')::timestamp)::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdate1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval "
testAddMonthsDate,B,"($!s0s!$.customdate1__c +  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdate1__c) + interval '1 month -1 day')::timestamp(0))::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdate1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval  + ('1 month'::interval*TRUNC(COALESCE($!s0s!$.customnumber1__c, 0)))) -  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdate1__c) + interval '1 month -1 day')::timestamp(0))::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdate1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval ","($!s0s!$.customdate1__c +  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdate1__c) + interval '1 month -1 day')::timestamp)::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdate1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval  + ('1 month'::interval*TRUNC(COALESCE($!s0s!$.customnumber1__c, 0)))) -  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdate1__c) + interval '1 month -1 day')::timestamp)::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdate1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval "
testAddMonthsDateTime,B,"($!s0s!$.customdatetime1__c +  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdatetime1__c) + interval '1 month -1 day')::timestamp(0))::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdatetime1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval  + ('1 month'::interval*TRUNC(COALESCE($!s0s!$.customnumber1__c, 0)))) -  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdatetime1__c) + interval '1 month -1 day')::timestamp(0))::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdatetime1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval ","($!s0s!$.customdatetime1__c +  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdatetime1__c) + interval '1 month -1 day')::timestamp)::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdatetime1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval  + ('1 month'::interval*TRUNC(COALESCE($!s0s!$.customnumber1__c, 0)))) -  (CASE WHEN extract(day FROM (date_trunc('month', $!s0s!$.customdatetime1__c) + interval '1 month -1 day')::timestamp)::numeric =       extract(day FROM (date_trunc('day', $!s0s!$.customdatetime1__c)))::numeric  THEN '1 day' ELSE '0 day' END )::interval "
testAddTimeValueWithValidInValid,C,"MOD(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000+ROUND(MOD(CAST(7200000 AS NUMERIC), 86400000))+86400000,86400000)","MOD(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000+ROUND(MOD(CAST(7200000 AS NUMERIC), 86400000))+86400000,86400000)"
testArcCosine,D,"ACOS(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20)","ACOS(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18)"
testArcSine,D,"ASIN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20)","ASIN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18)"
testArcTan2,D,"ATAN2(COALESCE($!s0s!$.customnumber1__c, 0),COALESCE($!s0s!$.customnumber2__c, 0))::numeric(40,20)","ATAN2(COALESCE($!s0s!$.customnumber1__c, 0),COALESCE($!s0s!$.customnumber2__c, 0))::numeric(38,18)"
testArcTangent,D,"ATAN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20)","ATAN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18)"
testCosine,D,"COS(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20)","COS(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18)"
testDateTimeText,B,"(CONCAT(TO_CHAR(($!s0s!$.customdatetime1__c)::timestamp(0), 'YYYY-MM-DD HH24:MI:SS'), 'Z' ))","(CONCAT(TO_CHAR(($!s0s!$.customdatetime1__c)::timestamp, 'YYYY-MM-DD HH24:MI:SS'), 'Z' ))"
testExpSimple,D,"EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(40,20))","EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(38,18))"
testExpUsesAbs,D,"EXP(ABS(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20))","EXP(ABS(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18))"
testExpUsesCeil,D,"EXP(CASE WHEN COALESCE($!s0s!$.customnumber1__c, 0)&gt;=0 THEN CEIL(ROUND(COALESCE($!s0s!$.customnumber1__c, 0),33)) ELSE FLOOR(ROUND(COALESCE($!s0s!$.customnumber1__c, 0),33)) END::numeric(40,20))","EXP(CASE WHEN COALESCE($!s0s!$.customnumber1__c, 0)&gt;=0 THEN CEIL(ROUND(COALESCE($!s0s!$.customnumber1__c, 0),33)) ELSE FLOOR(ROUND(COALESCE($!s0s!$.customnumber1__c, 0),33)) END::numeric(38,18))"
testExpUsesFloor,D,"EXP(CASE WHEN COALESCE($!s0s!$.customnumber1__c, 0)&gt;=0 THEN FLOOR(ROUND(COALESCE($!s0s!$.customnumber1__c, 0),33)) ELSE CEIL(ROUND(COALESCE($!s0s!$.customnumber1__c, 0),33)) END::numeric(40,20))","EXP(CASE WHEN COALESCE($!s0s!$.customnumber1__c, 0)&gt;=0 THEN FLOOR(ROUND(COALESCE($!s0s!$.customnumber1__c, 0),33)) ELSE CEIL(ROUND(COALESCE($!s0s!$.customnumber1__c, 0),33)) END::numeric(38,18))"
testExpUsesIf,D,"EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(40,20))","EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(38,18))"
testExpUsesLen,D,"EXP(COALESCE(LENGTH($!s0s!$.customtext1__c),0)::numeric::numeric(40,20))","EXP(COALESCE(LENGTH($!s0s!$.customtext1__c),0)::numeric::numeric(38,18))"
testExpUsesLn,D,"ROUND(EXP(LN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20)), 0::integer)","ROUND(EXP(LN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18)), 0::integer)"
testExpUsesLog,D,"EXP(LOG(10, COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20))","EXP(LOG(10, COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18))"
testExpUsesMOD,D,"EXP(MOD(COALESCE($!s0s!$.customnumber1__c, 0), COALESCE($!s0s!$.customnumber2__c, 0))::numeric(40,20))","EXP(MOD(COALESCE($!s0s!$.customnumber1__c, 0), COALESCE($!s0s!$.customnumber2__c, 0))::numeric(38,18))"
testExpUsesMinus,D,"EXP((COALESCE(($!s0s!$.custompercent1__c / 100.0), 0)-COALESCE($!s0s!$.customcurrency1__c, 0))::numeric(40,20))","EXP((COALESCE(($!s0s!$.custompercent1__c / 100.0), 0)-COALESCE($!s0s!$.customcurrency1__c, 0))::numeric(38,18))"
testExpUsesPlus,D,"EXP(COALESCE((COALESCE(($!s0s!$.custompercent1__c / 100.0), 0)+COALESCE($!s0s!$.customnumber1__c, 0)), 0)::numeric(40,20))","EXP(COALESCE((COALESCE(($!s0s!$.custompercent1__c / 100.0), 0)+COALESCE($!s0s!$.customnumber1__c, 0)), 0)::numeric(38,18))"
testExpUsesRound,D,"EXP(ROUND(COALESCE($!s0s!$.customnumber1__c, 0), COALESCE($!s0s!$.customnumber2__c, 0)::integer)::numeric(40,20))","EXP(ROUND(COALESCE($!s0s!$.customnumber1__c, 0), COALESCE($!s0s!$.customnumber2__c, 0)::integer)::numeric(38,18))"
testExpUsesSqrt,D,"EXP(SQRT(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20))","EXP(SQRT(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18))"
testExpUsesValue,D,"EXP(CAST($!s0s!$.customtext1__c AS NUMERIC)::numeric(40,20))","EXP(CAST($!s0s!$.customtext1__c AS NUMERIC)::numeric(38,18))"
testFormatDurationTime,C,"TO_CHAR((INTERVAL '1 second' * ABS(((CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.timeString1__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000)-(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.timeString2__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000))/1000)), 'HH24:MI:SS')","TO_CHAR((INTERVAL '1 second' * ABS(((CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.timeString1__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000)-(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.timeString2__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000))/1000)), 'HH24:MI:SS')"
testIfErrorTextTimeValueWithValidInValid,C,"CASE WHEN  NOT $!s0s!$.dateString__c ~ '^([01]\d|2[0-3]):[0-5][0-9]:[0-5][0-9]\.[0-9][0-9][0-9]$'  THEN NULL ELSE TO_CHAR(TO_TIMESTAMP(TO_CHAR(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000/1000, 'FM99990D999'), 'SSSS.MS'), 'HH24:mi:ss.MS') END","CASE WHEN  NOT $!s0s!$.dateString__c ~ '^([01]\d|2[0-3]):[0-5][0-9]:[0-5][0-9]\.[0-9][0-9][0-9]$'  THEN NULL ELSE TO_CHAR(TO_TIMESTAMP(TO_CHAR(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000/1000, 'FM99990D999'), 'SSSS.MS'), 'HH24:mi:ss.MS') END"
testIfTextCompareEqualReturnDate,A+B,"CASE WHEN (COALESCE($!s0s!$.customtext1__c, CONCAT($!s0s!$.customemail1__c, 'x'))=COALESCE($!s0s!$.customemail1__c, CONCAT($!s0s!$.customtext1__c, 'x'))) THEN COALESCE($!s0s!$.customdate1__c,CAST(NULL AS DATE)) ELSE COALESCE(($!s0s!$.customdate2__c+pg_catalog.make_interval(0,0,0,0,0,0,TRUNC(COALESCE($!s0s!$.customnumber1__c, 0))*86400.0))::timestamp(0),CAST(NULL AS DATE)) END","CASE WHEN (COALESCE($!s0s!$.customtext1__c, CONCAT($!s0s!$.customemail1__c, 'x'))=COALESCE($!s0s!$.customemail1__c, CONCAT($!s0s!$.customtext1__c, 'x'))) THEN COALESCE($!s0s!$.customdate1__c,CAST(NULL AS DATE)) ELSE COALESCE(($!s0s!$.customdate2__c+(INTERVAL '1 second'*TRUNC(COALESCE($!s0s!$.customnumber1__c, 0))*86400.0))::timestamp,CAST(NULL AS DATE)) END"
testIfTextCompareEqualReturnDateTime,A+B,"CASE WHEN (COALESCE($!s0s!$.customphone1__c, CONCAT($!s0s!$.customphone2__c, 'x'))=COALESCE($!s0s!$.customphone2__c, CONCAT($!s0s!$.customphone1__c, 'x'))) THEN COALESCE(($!s0s!$.customdatetime1__c-pg_catalog.make_interval(0,0,0,0,0,0,COALESCE($!s0s!$.customcurrency1__c, 0)*86400.0))::timestamp(0),CAST(NULL AS DATE)) ELSE COALESCE($!s0s!$.customdatetime2__c,CAST(NULL AS DATE)) END","CASE WHEN (COALESCE($!s0s!$.customphone1__c, CONCAT($!s0s!$.customphone2__c, 'x'))=COALESCE($!s0s!$.customphone2__c, CONCAT($!s0s!$.customphone1__c, 'x'))) THEN COALESCE(($!s0s!$.customdatetime1__c-(INTERVAL '1 second'*COALESCE($!s0s!$.customcurrency1__c, 0)*86400.0))::timestamp,CAST(NULL AS DATE)) ELSE COALESCE($!s0s!$.customdatetime2__c,CAST(NULL AS DATE)) END"
testModUsesExpCeil,D,"MOD(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(40,20)), CASE WHEN COALESCE($!s0s!$.customnumber2__c, 0)&gt;=0 THEN CEIL(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) ELSE FLOOR(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) END)","MOD(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(38,18)), CASE WHEN COALESCE($!s0s!$.customnumber2__c, 0)&gt;=0 THEN CEIL(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) ELSE FLOOR(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) END)"
testPi,D,"ROUND(PI()::numeric(40,20), 12::integer)","ROUND(PI()::numeric(38,18), 12::integer)"
testRoundUsesExp,D,"ROUND(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(40,20)), CASE WHEN COALESCE($!s0s!$.customnumber2__c, 0)&gt;=0 THEN CEIL(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) ELSE FLOOR(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) END::integer)","ROUND(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(38,18)), CASE WHEN COALESCE($!s0s!$.customnumber2__c, 0)&gt;=0 THEN CEIL(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) ELSE FLOOR(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) END::integer)"
testSine,D,"SIN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20)","SIN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18)"
testSqrtUsesExp,D,"SQRT(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(40,20)))","SQRT(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(38,18)))"
testSubDateTimeGivingDate,A+B,"($!s0s!$.customdatetime1__c-pg_catalog.make_interval(0,0,0,0,0,0,COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp(0)","($!s0s!$.customdatetime1__c-(INTERVAL '1 second'*COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp"
testSubDateTimeGivingDateTime,A+B,"($!s0s!$.customdatetime1__c-pg_catalog.make_interval(0,0,0,0,0,0,COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp(0)","($!s0s!$.customdatetime1__c-(INTERVAL '1 second'*COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp"
testSubDateTimeGivingDateValue,A+B,"DATE_TRUNC('DAY', (($!s0s!$.customdatetime1__c-pg_catalog.make_interval(0,0,0,0,0,0,COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp(0) AT TIME ZONE 'UTC') AT TIME ZONE '__TZ_ID__')::timestamp","DATE_TRUNC('DAY', (($!s0s!$.customdatetime1__c-(INTERVAL '1 second'*COALESCE($!s0s!$.customnumber1__c, 0)*86400.0))::timestamp AT TIME ZONE 'UTC') AT TIME ZONE '__TZ_ID__')::timestamp"
testSubtractBigTimeValue,C,"MOD(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000-ROUND(MOD(CAST(180000000 AS NUMERIC), 86400000))+86400000,86400000)","MOD(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000-ROUND(MOD(CAST(180000000 AS NUMERIC), 86400000))+86400000,86400000)"
testSubtractTimeValueWithValidInValid,C,"MOD(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000-ROUND(MOD(CAST(7200000 AS NUMERIC), 86400000))+86400000,86400000)","MOD(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000-ROUND(MOD(CAST(7200000 AS NUMERIC), 86400000))+86400000,86400000)"
testSubtractTwoTimeFields,C,"MOD(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.timeString2__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000-CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.timeString1__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000+86400000,86400000)","MOD(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.timeString2__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000-CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.timeString1__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000+86400000,86400000)"
testTangent,D,"TAN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(40,20)","TAN(COALESCE($!s0s!$.customnumber1__c, 0))::numeric(38,18)"
testTextTimeValueWithValidInValid,C,"TO_CHAR(TO_TIMESTAMP(TO_CHAR(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000/1000, 'FM99990D999'), 'SSSS.MS'), 'HH24:mi:ss.MS')","TO_CHAR(TO_TIMESTAMP(TO_CHAR(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000/1000, 'FM99990D999'), 'SSSS.MS'), 'HH24:mi:ss.MS')"
testTimeValueWithValidString,C,"CAST(TO_CHAR(TO_TIMESTAMP('10:40:55.666', 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000","CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP('10:40:55.666', 'HH24:mi:ss.MS')) AS NUMERIC) * 1000"
testTruncUsesExp,D,"TRUNC(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(40,20)), CASE WHEN COALESCE($!s0s!$.customnumber2__c, 0)&gt;=0 THEN CEIL(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) ELSE FLOOR(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) END::integer)","TRUNC(EXP(COALESCE($!s0s!$.customnumber1__c, 0)::numeric(38,18)), CASE WHEN COALESCE($!s0s!$.customnumber2__c, 0)&gt;=0 THEN CEIL(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) ELSE FLOOR(ROUND(COALESCE($!s0s!$.customnumber2__c, 0),33)) END::integer)"
testUnixTimestampWithTime,C,"TRUNC(CAST(TO_CHAR(TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS'),'SSSS.MS') AS NUMERIC) * 1000/1000)","TRUNC(CAST(EXTRACT(EPOCH FROM TO_TIMESTAMP($!s0s!$.dateString__c, 'HH24:mi:ss.MS')) AS NUMERIC) * 1000/1000)"
